Stanox;Latitude;Longitude;CRS Code;NLCDesc;Station Name;Tiploc Code
3095;;;"''";"BARNHILL SIGNALBOX";"''";"''"
52057;;;"''";"BARNSBURY JUNCTION";"''";"''"
68082;;;"''";"BARNWOOD JN";"''";"''"
72261;;;"''";"BARONS COURT LAY BY SIDING";"''";"''"
72260;;;"''";"BARONS COURT LT";"''";"''"
47251;;;"''";"BARRINGTON RUN ROUND";"''";"''"
47252;;;"''";"BARRINGTON UNLOADING PAD";"''";"''"
27220;;;"''";"BARROW HILL";"''";"''"
27224;;;"''";"BARROW HILL DN GDS (FLHH)";"''";"''"
27217;;;"''";"BARROW HILL JN";"''";"''"
27216;;;"''";"BARROW HILL LIMIT OF SHUNT";"''";"''"
27218;;;"''";"BARROW HILL LIP C&W GBRF";"''";"''"
27212;;;"''";"BARROW HILL LOCO";"''";"''"
27213;;;"''";"BARROW HILL LOCO SHED";"''";"''"
27225;;;"''";"BARROW HILL RECEPTION 4";"''";"''"
27215;;;"''";"BARROW HILL SIGNAL 1003";"''";"''"
27219;;;"''";"BARROW HILL SOUTH JN.";"''";"''"
27222;;;"''";"BARROW HILL STAVELEY FLHH";"''";"''"
27214;;;"''";"BARROW HILL STAVELEY GDSLP";"''";"''"
27226;;;"''";"BARROW HILL UP SDG 4 GBRF";"''";"''"
27223;;;"''";"BARROW HILL UP SDG NO 1";"''";"''"
27221;;;"''";"BARROW HILL UP SDGS NO 2 AND 3";"''";"''"
11243;;;"''";"BARROW MARINE TERMINAL";"''";"''"
11247;;;"''";"BARROW RAMSDEN DOCK (ABP)";"''";"''"
11259;;;"''";"BARROW SALTHOUSE JUNCTION";"''";"''"
11249;;;"''";"BARROW TERMINAL COMPLEX";"''";"''"
11233;;;"''";"BARROW-IN-FURNESS C.S.";"''";"''"
11232;;;"''";"BARROW-IN-FURNESS SIG 52/53/54";"''";"''"
78802;;;"''";"BARRY DOCKS ABP (SHIPMENT)";"''";"''"
78809;;;"''";"BARRY DOCKS DOW CHEMICALS";"''";"''"
78808;;;"''";"BARRY DOCKS DOW CHEMICALS";"''";"''"
78807;;;"''";"BARRY DOCKS DUNN BROS";"''";"''"
78803;;;"''";"BARRY DOCKS EWS";"''";"''"
78806;;;"''";"BARRY DOCKS HEXION";"''";"''"
78814;;;"''";"BARRY DOCKS SAMAT TERMINAL";"''";"''"
78804;;;"''";"BARRY DOCKS ZEON";"''";"''"
78899;;;"''";"BARRY DOWN GOODS LOOP";"''";"''"
78815;;;"''";"BARRY SIGNAL B49";"''";"''"
78812;;;"''";"BARRY WAGON SHOP";"''";"''"
